Comment,Designator,Footprint,JLCPCB Part #
SP1001-02JTG,"D1,D2",SOT-323_SC-70,C151300
FT230XQ,U3,QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,C128629
100nF,"C5,C3",C_0402_1005Metric,C1525 
Battery_Cell,BT1,BAT_3030TR,
520R,R14,R_0402_1005Metric,C365029
NET,LED1,LED_0402_1005Metric,
10R,R3,R_0402_1005Metric,
4.7K,"R2,R1",R_0402_1005Metric,
22uF,C6,C_0603_1608Metric,
0.1uF,C1,C_0402_1005Metric,C1525 
10nH,L1,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
CONMHF4-SMD-G-T,ACT_ANT,LINX_CONMHF4-SMD-G-T,C18221168
MAX-M8C-0-10,U1,MAX-8 MAX-M8_UBL,
